pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-08-07,SPCX,SHORT,70,133.11,2026-08-14,140.0,-5.18,0.4,False,False
2026-08-07,TTD,LONG,66,13.8,2026-08-14,14.14,2.46,0.4,True,False
2026-08-07,VATE,LONG,74,12.11,2026-08-14,7.96,-34.27,0.4,False,False
2026-08-07,ZENA,LONG,100,1.65,2026-08-14,2.14,29.7,0.4,True,False
2026-08-10,ABCL,LONG,71,9.34,2026-08-17,11.2,19.91,-0.05,True,False
2026-08-10,ACHR,LONG,40,6.26,2026-08-17,6.395,2.16,-0.05,True,False
2026-08-10,AUUD,WATCH,25,1.32,2026-08-17,0.9701,-26.51,-0.05,,True
2026-08-10,HUDI,LONG,61,0.925,2026-08-17,0.95,2.7,-0.05,True,False
2026-08-10,HZO,SHORT,35,52.12,2026-08-17,52.22,-0.19,-0.05,False,False
2026-08-10,INTC,LONG,69,97.52,2026-08-17,103.49,6.12,-0.05,True,False
2026-08-10,SLN,WATCH,25,15.43,2026-08-17,14.35,-7.0,-0.05,,True
2026-08-10,SPCX,LONG,40,138.74,2026-08-17,146.23,5.4,-0.05,True,False
2026-08-10,VREX,WATCH,33,18.46,2026-08-17,18.46,0.0,-0.05,,True
2026-08-10,XHLD,WATCH,20,3.11,2026-08-17,7.36,136.66,-0.05,,True
2026-08-11,AIHS,WATCH,20,1.84,2026-08-18,1.44,-21.74,-0.42,,True
2026-08-11,FRMI,LONG,100,7.12,2026-08-18,5.74,-19.38,-0.42,False,False
2026-08-11,GLE,WATCH,10,0.493,2026-08-18,0.388,-21.3,-0.42,,True
2026-08-11,INTC,WATCH,46,97.71,2026-08-18,96.685,-1.05,-0.42,,True
2026-08-11,MREO,LONG,40,0.3055,2026-08-18,0.313,2.45,-0.42,True,False
2026-08-11,NCRA,WATCH,36,2.45,2026-08-18,2.1,-14.29,-0.42,,True
2026-08-11,PLAG,LONG,85,5.81,2026-08-18,0.794,-86.33,-0.42,False,False
